Player,TournamentElo
Hera,2575
Liereyy,2472
Yo,2437
TheViper,2444
TaToH,2402
Hearttt,2428
ACCM,2419
Vinchester,2433
Sebastian,2436
FreakinAndy,2359
Nicov,2353
Barles,2316
MbL,2382
Sitaux,2346
Dark,2263
DauT,2306
Lewis,2277
SoraKuma,2274
Mihai06,2307
Kingstone,2189
Capoch,2253
Ciskhan,2158
Vivi,2247
classicpro,2196
dogao,2227
Margougou,2164
Running,2204
Lucho,2206
Villese,2257
AntagonisT,2148
Dragonstar,2133
Valas,2178
Prisma09,2124
Daniel,2148
Z40,2111
Youpudding,2033
JorDan_AoE,2329
Overtaken,2150
StonePleaseAoE,2052
chart,2067
Babaorum,2143
Dennis,2016
Monoz,2075
wide,2035
deaKer,2144
lyx,2134
iBUYPOWER,2012
GoKu,1957
Sobek,2130
Terz,2073
Ozone,2077
Uzzi,2084
Hope,2073
F1Re,2111
Miguel,2085
repard,2170
BadKoala,2062
Dr.Kozmonot,2049
Nahue05,2066
Lamo,1970
Gabi,2077
JackK,2034
DOOMSTER,2015
Ganji,2207